job_name,company_name,job_city,salary,publish_detail,company_type,company_scale,industry,job_duty,发布日期
大数据工程师,苏州恩巨网络有限公司,苏州,2-3万/月,苏州 2年经验 硕士 招1人 03-14发布,外资（欧美）,少于50人,"通信/电信/网络设备,计算机软件",1、负责公司项目应用监测数据分析软件大数据平台的代码开发； 2、负责大数据体系架构设计和应用产品的研究； 3、编写软件研发相关技术文档； 4、编写产品研发相关计划，阶段性代码、技术方案和软件产品及时提交至配置管理库； 5、上级安排的其他工作。 任职要求： 1、计算机、软件工程、通信等相关专业，硕士学历； 2、5年以上工作经验，3年以上Hadoop平台的相关研发经验，具有良好的需求分析，方案设计，架构设计，程序编写、测试能力； 3、熟悉hadoop以及其生态圈系统上的hive、hbase、spark、strom等技术，熟悉hadoop源码者优先； 4、具有应用大数据技术处理TB级以上数据的项目开发经验者优先； 5、向hadoop相关开源产品贡献过代码或提交过bug者优先； 6、具备数据分析、数据挖掘、数据可视化、在线数据相关产品的设计经验。 职务待遇： 1、优越的福利待遇：周末双休+五险一金+各项补贴+节日慰问+年度旅游+年终奖； 2、完善的假期组合：带薪年假、带薪病假及法定假期； 3、优厚的福利体系：养老保险、医疗保险、生育保险、工伤保险、失业保险及住房公积金； 4、多元化培训课程：在职个人提升计划； 5、良好晋升机会：内部转职（横向发展）、纵向提升； 6、舒适的工作环境。,2026-03-14
大数据售前工程师,北京卓信智恒数据科技股份有限公司,武汉-江汉区,1.2-2万/月,武汉-江汉区 招1人 03-14发布,上市公司,150-500人,"计算机软件,通信/电信/网络设备",职位描述 1、根据企业客户需求和公司行业数据解决方案开展售前工作。包括公司大数据方案讲解、客户针对性方案制作及讲解，项目标书制作及讲标等工作内容； 2、结合行业业务情况（或者行业内龙头企业的业务情况）和公司技术背景构建行业大数据解决方案，指导及协助公司大数据项目的实施交付； 3、与大数据产品部密切配合，快速挖掘客户需求与项目合作机会，推进大数据平台应用解决方案和数据产品的业务拓展； 4、完善与提升公司在烟草、石油、教育及其它行业的大数据解决方案； 5、参与公司大数据项目的前期规划设计，并指导实施团队进行项目落地交付； 任职要求： 1、计算机及相关专业本科以上，3年以上大数据项目售前工作经验； 2、熟悉大数据生态圈的技术，包括但不限于MapReduce、Spark、Hadoop、Kafka、Mongodb、Redis、Flume、Storm、Hbase、Hive，熟悉星环大数据产品线及有过产品项目实施和方案设计经验者优先； 3、优秀的方案撰写能力，思路清晰，逻辑思维强，能够根据业务需求设计合理的解决方案； 4、熟悉ORACLE、DB2、mySql等主流关系型数据库，熟悉数据仓库建设思路和数据分层架构思想； 5. 了解java、R、python等主流数据开发语言和常用算法模型； 6. 了解云服务平台及微服务相关架构思想和技术路线，使用过阿里云或腾讯云产品者优先； 7、有烟草、石油或其它制造行业大数据解决方案售前经验者优先； 8、能适应售前支持和项目实施需要的短期出差；,2026-03-14
大数据测试工程师,四川效率源信息安全技术股份有限公司,成都-高新区,7-9千/月,成都-高新区 3-4年经验 本科 招若干人 03-14发布,民营公司,150-500人,"计算机服务(系统、数据服务、维修),计算机软件","众志成城，万众一心 坚决打赢疫情防控狙击战 武汉加油！中国加油！ ******************************************************************************************** 效率源现已启动疫情期间线上面试，抗击疫情，效率源与您一起努力！！！ 岗位职责： 1.设计和编写测试用例，组织测试用例评审； 2.搭建基于Linux的测试环境，执行测试用例，并定位bug和对修复结果负责； 3.负责大数据hadoop，spark，hive，flink等相关大数据产品的测试工作； 3.负责大数据项目及产品上线测试，挖掘并跟进实施性能测试、稳定性等专项测试，保障和提升产品质量； 4.根据测试需要，开发自动化测试工具和测试脚本，开展自动化测试； 5.完成测试项目归纳及总结文档。 任职要求： 1.本科以上学历,电子工程或计算机等相关专业； 2.3年以上测试相关经验； 3.熟悉大数据相关组件，包括spark hive hbase等，有spark，hive等调优经验者优先； 3.熟悉软件测试理论和流程； 4.熟悉Linux系统安装操作，能独立进行相关大数据组件部署； 5.有python，java等编写经验者优先； 6.具备良好的团队合作精神，善于协调沟通，具备较强的问题定位和推动解决能力。 ******************************************************************************************** 我们注重员工的成长与发展，不仅给予优秀员工完善的晋升通道，提供内部竞聘和空缺岗位试岗机会，还为员工提供不同的发展规划建议，培训机会和职称申报辅导。下一个“大王”“大师”可能就是你！ 我们倡导效率工作模式，注重每一次沟通的质量，珍惜每一分在岗时间，不鼓励加班，朝九晚六，周末双休 我们践行人性化管理模式，交通不畅或者雨天情况上班适当弹性，更有丰富多样的小小带薪假期（如法定假期错峰1-3H提前下班），员工喜爱的各类活动（运动比赛、春季踏青、包场看电影~~） 我们提倡公平公开，协作共享的工作环境；支持对公司和团队贡献大者获得更多的激励机制；丰富全面的奖励方式，即时奖励与阶段奖励相结合；个人成绩与团队成果相结合哟！ 我们营造积极向上的价值理念，“知行合一，以真致胜”，努力为中国信息安全事业发展而努力。疫情防控期间，效率源技术服务中心和客户服务中心7*24小时在线守护，为行业客户提供在线咨询和应急响应服务。 病毒虽然隔离了彼此之间的距离，却隔离不了我们的心，有爱就有希望，感谢您的支持和理解！我们期待与您共事！ 公司网址： www.xlysoft.net(中文) www.salvationdata.com(英文)",2026-03-14
数据分析工程师,上海东方低碳科技产业股份有限公司,上海-长宁区,1.5-2万/月,上海-长宁区 5-7年经验 硕士 招2人 03-14发布 工程管理,民营公司,50-150人,"建筑/建材/工程,环保",1.主导工业大数据应用的研究项目和算法开发/模型演示，有独立分析研究算法的能力 2.与技术团队合作，实现算法应用环境，并调试结果 3.编辑分析报告，介绍文档以及产品演示 任职要求： 1.理工科工程领域的硕士或博士学位 2.熟悉Python编程，有Python数据分析的经验，熟悉scikit-learn，keras数据分析包和Jupyter工具包进行研究项目 3.熟练使用机器学习与神经网络算法 4.有能源或工业数据分析经验优先 5.工作认真、负责、仔细，有良好的团队合作精神，有良好的分析问题能力、沟通技巧及数据呈现能力,2026-03-14
数据分析师--数据挖掘方向（医药背景）,医药魔方,北京-朝阳区,0.7-1.6万/月,北京-朝阳区 1年经验 本科 招3人 03-14发布 英语良好 药学 化学,民营公司,50-150人,"互联网/电子商务,制药/生物工程",1、研究数据特点与规律，对数据进行结构化和标准化清洗 2、基于历史数据，搭建数据分析模型，开展前瞻性预测 任职要求 1、数学、统计、药学、化学、生物等本科及以上学历 2、医药数据分析、数据模型搭建等1年以上经验（包括在校经历） 3、熟练掌握Excel中高阶技能，熟悉清洗或分析工具者优先（PowerBI、Python等）,2026-03-14
IT数据分析师,深圳市国盛源商贸有限公司,深圳,1-1.5万/月,深圳 3-4年经验 本科 招1人 03-14发布,民营公司,150-500人,"快速消费品(食品、饮料、化妆品),批发/零售",1、运用良好的用户沟通能力，汇总并管理各业务部门提出的IT类需求；2、通过专业的需求分析、流程建模能力，将用户需求以需求说明书、流程图、用例图等形式进行梳理、并提出改善建议；3、组织需求评审会议，与用户确认需求范围和内容，作为系统开发基准；4、制定系统验收标准，编写功能测试用例，协助厂商或内部开发人员、测试人员对需求进行理解；5、参与整个系统建设流程，负责需求管理与跟踪，对需求变更进行控制与管理，保证项目需求文档的真实性、完整性、时效性；6、协助用户完成模拟测试，准备系统培训资料并对用户进行系统操作培训，协助系统上线运行；7、跟踪上线系统的运行效果、用户反馈，收集和主动挖掘改进需求，根据业务需求持续改进系统，提升用户体验；8、基于实际业务，设计系统数据分析报表，以图/表形式展现深层次业务问题，以支持日常用户与管理层需要。 任职资格,2026-03-14
大数据开发工程师,深圳市懿华软件有限公司,深圳-福田区,1.5-2万/月,深圳-福田区 3-4年经验 大专 招3人 03-14发布,民营公司,50-150人,计算机软件,职位诱惑：职位高大上，行业老大 职位描述：1. 全日制大专及以上学历，3年以上工作经验，本科16年毕业，专科14年毕业； 2、具备扎实的数据库基础，熟悉Hive、Oracle、 MySQL数据库其中一种； 3.有BI开发或数据分析经验； 4.有数仓项目实践经验 5.认真、勤奋、有责任心，具备一定的文档阅读和编写能力，能承受一定的工作压力 温馨提示：1、外包职位，请认准后投递2、学历学信网可查，全日制非自考和成人工作地址,2026-03-14
数据分析师,佐大狮科技（上海）有限公司,上海-普陀区,1-1.5万/月,上海-普陀区 3-4年经验 本科 招1人 03-14发布,民营公司,150-500人,"互联网/电子商务,快速消费品(食品、饮料、化妆品)",岗位职责： 1、负责提炼公司核心业务数据，梳理业务逻辑，构建业务指标体系，利用数据驱动业务提升，并将其工具化、系统化； 2、定期对市场环境、竞对、销售数据进行分析，通过数据分析和数据挖掘，找到业务增长的改进点，提供策略建议和优化方向，并不断落实； 3、协助公司数据仓库的建设，确保公司管理决策所需数据的可实现性； 4、辅助管理层和各业务部门，对B端和C端数据进行分析。 任职要求： 1、本科及以上学历；统计学/数学/经济学/计算机相关专业优先； 2、3-5年数据分析/商业分析经验；了解基本的分析模型、统计学原理； 3、大型互联网公司BI背景，或咨询公司分析师背景优先； 4、具备SQL语言能力，了解DW，精通Excel报表的制作和分析； 5、商业感觉敏锐，对数据敏感，能快速理解业务，能主动寻找业务各环节中数据分析的应用机会； 6、良好的沟通能力和抗压能力。,2026-03-14
数据开发经理,浙江优创信息技术有限公司,杭州-滨江区,1.5-2.5万/月,杭州-滨江区 5-7年经验 本科 招1人 03-14发布,民营公司,150-500人,计算机软件,注意：工作地点在宁波！！！可提供员工宿舍！！ 职位描述： 1、5年以上工作经验，计算机相关专业，本科以上学历； 2、熟练掌握SQL，熟悉Oracle/PLSQL，会编写存储过程； 3、熟悉数据库优化，包括SQL优化、索引及其他数据库优化手段； 4、熟悉大型数据库开发，如DB2、Oracle； 5、配合使用主流数据仓库工具，如：Informatica、Teradata等； 6、从事基于数据库存储过程开发或数据仓库开发者优先。,2026-03-14
大数据高级开发工程师,武汉掌游科技有限公司,武汉-洪山区,1.5-2.5万/月,武汉-洪山区 3-4年经验 本科 招2人 03-14发布,民营公司,150-500人,网络游戏,"岗位职责 1、负责大数据平台的架构、研发和持续优化； 2、解决基础架构项目中的关键架构问题和技术难题，负责项目中关键技术难点的攻关； 3、参与大数据门户、元数据管理平台、数据质量监控平台、可视化系统等系统的搭建和开发工作； 任职要求 1、大学本科，有至少5年的Java、scala或python编程经验，2年以上大数据大数据架构开发相关工作经验； 2、精通spark和hadoop全栈开发，具备大数据平台开发经验；使用hadoop及hadoop生态圈中的常用组件，如Spark、Hive、Kafka、Yarn、HBase、Presto等全部或者部分组件,精通其中3个以上优先； 3、拥有实际的Hadoop/spark的项目经验，具有相关系统的调优、运维、开发经验； 4、深刻理解hadoop/spark相关技术的原理和开发方法，熟练hadoop/spark平台的搭建部署、调优、故障诊断、运行维护的方法和工具； 5、对Linux操作系统熟练掌握，熟悉shell脚本编程； 6、具备一定的数据的分析和理解能力。",2026-03-14
大数据开发高级经理,沃尔玛（中国）投资有限公司,深圳-福田区,2-3万/月,深圳-福田区 3-4年经验 本科 招1人 03-14发布 英语熟练,外资（欧美）,1000-5000人,批发/零售,"1． 负责公司数据湖/数据仓库建设； 2． 负责公司大数据平台建设 3． 负责大数据平台相关数据开放接口/元数据管理等管理平台开发； 4． 负责Hive、Spark、Kafka等系统的应用开发工作； 5． 协助ETL调度平台开发，构建稳定高性能的处理流程； 6． 负责数据的清洗、加工、分类等开发工作，并能响应数据分析师对数据提取的要求. 任职要求： 1. 本科及以上学历，计算机、数学等相关专业； 2. 3年以上软件开发工作经验，熟悉Hadoop/Spark/Hive/HBase等大数据工具，主导过大型数据平台建设者优先； 3. 熟悉Linux系统，具备shell、python、Java或Scala等脚本开发能力； 4. 熟悉常用算法和数据结构，HTTP协议、TCP网络编程、Web分布式架构设计、缓存设计中的3项以上技术； 5. 熟悉至少一种实时计算引擎 Storm, Spark Streaming, Flink, 对hadoop生态其他组件有一定了解，比如 HBase， hadoop, Hive, Druid等 6. 熟悉流行的开源框架，如Spring，SpringMvc，IBatis/Mybatis，Hibernate/JOOQ等； 7. 熟悉主流数据库如Oracle/SQL Server/MySQL及SQL优化; 熟悉数据仓库理论，具备复杂业务需求梳理能力； 8. 熟悉数据仓库的ETL的开发,有海量数据处理相关经验优先； 9. 对数据有着强烈兴趣，关注大数据技术发展趋势，具备很强的学习新技术的能力; 10. 有大规模集群应用开发经验优先 11. 英文流利优先",2026-03-14
金融数据分析师,东恒万通（北京）信息咨询服务有限公司,北京-朝阳区,1.5-2万/月,北京-朝阳区 1年经验 大专 招若干人 03-14发布,合资,500-1000人,金融/投资/证券,1.严格执行公司各项制度，并定期整理分析数据，向上级领导账户分析结果； 1.专业不限，经济类、理工类专业优先； 2.人品端正，谦虚好学，自信果敢； 3.有很强的数据运算能力及宏观经济数据分析能力； 4.有强烈希望成为交易高手的意愿； 5.可承受较大心里压力，有很强的自我调控能力，纪律严格； 6.对公司资高度负责，严格执行安全控制； 7.以稳定盈利为***目标； 8.敢于迎接挑战、能独立承受压力、完成公司交赋的工作任务。 ： 1、底薪8000-15000之间 + 年终奖 + 五险 + 全勤奖 + 提成+其他员工福利 2、完整晋升空间。每三个月有一次晋升机会，每次薪资涨幅4000-5000 3、保障安全有五险一金 4、每月有高温和交通补助,2026-03-14
数据分析师,武汉熠汇饮科技有限公司,武汉-洪山区,5-6千/月,武汉-洪山区 3-4年经验 本科 招1人 03-14发布,民营公司,50-150人,"快速消费品(食品、饮料、化妆品),餐饮业",统计和分析公司的经营数据，为招商布局和营运提供数据支撑。 1、按区域和商圈分析月度和年度的招商数据； 2、月度按解约、迁址原因做数据分析； 3、定期分析商圈、客席区等因素对经营的影响，同比同区域竞品情况做分析； 4、对营运经理的营运指标做分析，提供营运绩效考核的依据； 任职要求： 1、学历：大专及以上；财务、统计、数学等相关专业毕业。 2、从事过销售助理或者统计类工作者优先，有快消品公司工作经历的优先。 3、做事认真、细心、负责； 4、熟练使用OFFICE特别是EXCLE等办公软件； 5、具有服务意识、能适应较大的工作压力； 6、具有较强的沟通协调能力,2026-03-14
金融数据分析师,西安明智康汇信息科技有限公司,西安-高新技术...,6-8千/月,西安-高新技术产业开发区 在校生/应届生 本科 招8人 03-14发布,民营公司,50-150人,"金融/投资/证券,计算机软件",1、搜集行业相关信息，为相关需求者提供更准确的信息。 2、协助部门经理完善部门管理制度。 3、进行演讲讲座，定期为需求者讲解金融二级市场最新趋势，以及对需求者进行交易分析 4、对基本面、技术面进行分析研究，给出行情走势分析和判断，撰写研究报告。 1、本科及以上学历，财会、审计、经济学、经济法、金融学、市场营销、文秘、人力资源相关专业优先； 2、对股票，期货等金融衍生品具有一定了解者优先，有培训行业教师工作经验，有丰富经验的银行从业者、离退休教授、学者优先； 3、语言表达流畅，具备较强的学习能力和创新能力； 4、熟悉相关业务，熟练使用现代培训工具，具备较强的企业分析能力和课程研发能力、良好的演讲能力； 5、富有激情，较强的亲和力和感染力、良好的文字和语言表达能力、沟通能力，思维敏捷； 薪资待遇：3个月内晋升公司交易技术讲师，1年内有机会成为公司金牌分析师，主导公司交易方向。 其他福利： 1、不定期举行公司聚餐、聚会； 2、不定期举行户外拓展活动； 3、优秀员工享受国内、外旅游机会 【工作时间】 周一到周五：9:00——17:30 周末双休，无加班。 注：本公司直招，非中介机构，无需缴纳任何费用，请求职者放心投递 公司名称：西安明智康汇信息科技有限公司 乘车路线：地铁三号线延平门C1 向南1500米 公交：261路 29路 411路 280路 608路 251路 512路 高新一号线等多条线路 工作地址：西安市高新区沣惠南路唐沣国际广场B座1002-1003室。 联系人：张 女 士 电话：18629103120,2026-03-14
数据分析师,东莞德永佳纺织制衣有限公司,东莞-麻涌镇,1-2万/月,东莞-麻涌镇 1年经验 本科 招1人 03-14发布,外资（非欧美）,5000-10000人,服装/纺织/皮革,工作职责： 1、根据公司管理目标需求，对生产绩效评核及追踪，协助上司整理编写商业数据分析报告，及时发现和分析其中隐含的变化和问题，为业务发展提供决策支持； 2、协助完成各体系数据库关系梳理，并促成ERP数据库关系可视化； 3、负责技术部实验设计及应用实验数据结果分析，生产效果评价及追踪，为各项目组提交之改良方案的有效性提供评价； 4、根据数据分析结果，协助上级制定、优化部门工作流程及组织进行工作改进； 5、协助部门建立办单、销样、大货数据串联，并对生产制程进行差异化分析； 6、通过数据探索和模型的输出等发现业务问题，进行深入分析，规划数据挖掘模型和解决方案； 7、参与业务部门临时数据分析需求的调研、分析及实现。 岗位要求： 1、持有统计学、计算机科学或相关范畴的本科学位； 2、1年或以上相关工作经验，有从事工业生产相关经验有先考虑； 3、熟悉Qlikview Bi可视化有先； 4、对数据建模及数据仓库设计有相关经验，过程包括数据提取、数据转换及数据存储； 5、熟悉使用Excel、SQL，熟悉数据分析软件（如R Studio、SPSS、Matlab)； 6、对印染行业有所认识者更佳； 7、流利的普通话，略懂英语； 8、具有良好的沟通及合作能力，需要与各业务部门及IT部门进行沟通，并向上级回报数据结果； 9、具有较强的统计运算能力、沟通协调、数据分析能力； 10、强烈的责任心、进取意识、创新精神； 11、乐于主动学习及与团队合作，并勇于表达意见。,2026-03-14
Java大数据开发助理,湖北华奥星空体育产业联盟发展有限公司,武汉-武昌区,4.5-7.5千/月,武汉-武昌区 招4人 03-14发布,民营公司,150-500人,"计算机软件,电子技术/半导体/集成电路",公司可提供实习岗位，欢迎优秀应届毕业生投递简历。 入职要求： 1、18-30岁，专业不限，高中及以上学历者优先 2、需对计算机、游戏开发、设计、网站建设有兴趣 3、有一定的逻辑思维，会简单电脑操作 4、面试通过，直接上岗，无经验者，人品优秀可先带薪实习后上岗 岗位职责： 1、具有一定的C/C++语言基础，掌握数据结构相关知识； 2、熟练操作Windows、Office等办公软件； 3、善于学习，深入了解嵌入式系统软件及开发环境； 4、具有良好的编码习惯，编写结构清晰、命名规范、逻辑性强、代码效率高； 5、深入理解软件工程思想； 6、具有良好学习能力和团队合作精神。 福利待遇： 1、周末双休，每天7小时上班时间，无夜班，不加班， 2、大量有奖金项目可做，能力强者可不限量接受奖金项目， 3、公司为员工购买五险一金，定期组织员工生日会、野外游玩等活动，提供良好的晋升机制，广阔的晋升空间。,2026-03-14
大数据开发工程师,广东美胶物产有限公司,异地招聘,1-1.5万/月,佛山-顺德区 3-4年经验 大专 招3人 03-14发布 普通话熟练 计算机网络 计算机科学与技术,民营公司,50-150人,贸易/进出口,1、负责公司的爬虫核心技术研究以及爬虫策略优化； 2、根据业务需求，实现大规模文本、图片、视频数据抓取、清洗、存储等工作； 3、对数据质量负责，提供数据分析报告，优化数据应用架构，支持产品研发； 任职要求 1、计算机、数学或统计等相关专业本科及以上学历，2年以上数据相关工作经验； 2、熟悉linux平台，掌握PythonJAVA或某种编程语言； 3、熟悉基于正则表达式、CSS、http协议、ml等的网页信息抽取技术； 4、精通常用的爬虫技术及架构，并能快速实现； 5、熟悉多线程编程、分布式计算，有分布式系统使用经验； 6、具备良好的编程习惯和算法基础，具有钻研精神； 7、对数据驱动业务有深入理解，对数据与业务方面有足够的敏感性，独立思考能力和逻辑分析能力强；,2026-03-14
大数据开发工程师,国衡智慧城市科技研究院（北京）有限公司,北京,0.8-1万/月,北京 2年经验 大专 招若干人 03-14发布,民营公司,少于50人,"计算机软件,互联网/电子商务",岗位职责： 1、快速分析、理解业务需求； 2、独立承担功能模块的设计和开发； 3、同团队其他成员联合开发、调试。 4、解决产品中存在的需求、技术缺陷，做好定期的版本更新； 5、负责新项目、新产品中的技术预研； 6、负责项目过程中的文档编写； 岗位要求： 1、计算机软件相关专业专科或以上学历，2年以上工作经验； 2、精通Java，基础知识扎实； 3、熟悉Spring、SpringMVC、SpringBoot、Hibernate、MyBatis等主流框架，深刻理解SpringCloud微服务技术栈； 4、熟练使用Eclipse、IntelliJ IDEA、Maven、SVN、GIT等； 5、了解爬虫技术的经验优先； 6、能承担开发压力、良好的团队合作意识。,2026-03-14
数据分析师,上海帕科软件科技股份有限公司,杭州,3-5千/月,杭州 1年经验 大专 招1人 03-14发布,民营公司,150-500人,计算机软件,5、有良好的对外沟通及工作汇报能力。,2026-03-14
数据分析师,醇馨信息,上海-浦东新区,1.5-2万/月,上海-浦东新区 招若干人 03-14发布,上市公司,5000-10000人,金融/投资/证券,1、梳理产品数据埋点需求，监督埋点流程，确保数据采集完整、准确； 2、负责日常数据报表的设计、报送； 3、分析运营效果，包括不仅限于活动运营、用户运营、视音频运营等，为精细化运营提供数据支持； 4、分析与评估内部产品核心模块，为产品功能迭代优先级提出合理化建议； 5、自主撰写专题数据分析报告； 6、参与数据平台搭建； 7、其他数据分析工作。 岗位要求： 1、计算机、数学、统计学相关专业本科及以上学历； 2、精通hive、SQL，能写复杂的hql/sql； 3、熟悉神策、百度统计、GA等分析工具； 4、掌握EXCEL、PPT等常用OFFICE软件； 5、有互联网行业产品运营分析经验者优先； 6、5年左右工作经验。,2026-03-14
数据分析师(6K+),成都环宇世纪商务咨询有限公司,成都-高新区,0.6-1万/月,成都-高新区 在校生/应届生 中专 招若干人 03-14发布,民营公司,50-150人,金融/投资/证券,这是一份极具挑战性的工作，作为新兴产业的热门行业，我们需要沉稳，有耐心，对国际新闻消息和外汇市场有一定的敏感度的伙伴，如果你的技术欠缺，没有关系，我们将提供前期的免费培训，带你认知，了解国际货币和国际新闻。相信不久的将来我们将会拥有更多的数据分析师和外汇交易大神！ 岗位详细描述及要求 交易员就业前景： 公司：交易员-交易部经理-交易部总监 一、 1、负责公司提供的大账户的资金运作。 2、把握市场机会，实时交易，使账户达到稳定盈 利。 3、专业不限，（金融专业优先）。 4、 人品端正，谦虚好学，自信果敢。 5、对金融市场有浓厚的兴趣，有股票、期货等投资 经验者优先。 对金融或投资领域有兴趣者，应届毕业生也可以有机 会 6、有其他工作经历，但不满足于现状，想对金融投 资做尝试和了解者; 7、有投资经历，但困惑却无解决之道，愿意来公司 沟通互补交流者; 8、对于金融如股票、期货、贵金属、外汇感兴趣， 敢于迎接挑战，有一定的自控力，承受能力者。 二、薪资待遇: 初级：底薪6K+20%提成或***提成30% 中级：底薪8K+30%提成或***提成40% 高级：底薪12K+40%提成或***提成50% 三、工作内容: 1.管理和运作公司内部自有资金账户。 2.有效进行风险控制，通过在全球外汇市场中进行实盘交易来获得利润。 3.关注公司账户操作品种价格的变动以及国际相关资 讯，上传下达。 四、任职要求: 1.良好的逻辑思路能力，期间参与过金融市场调研或 者参加过相关的如外汇、股票、期货等金融产品培训 机构者优先考虑; 2.国际金融专业及有实盘操作经验者优先考虑; 3.自我管理能力强，严格按照公司规定流程执行; 专业不限，金融专业优先。 4.人品端正，谦虚好学，自信果敢。,2026-03-14
大数据开发工程师-成都,上海梦创双杨数据科技股份有限公司,成都,1-3万/月,成都 2年经验 本科 招15人 03-14发布,民营公司,1000-5000人,计算机软件,岗位职责： 1、负责大数据平台的选型和研发工作，完成实时＼离线处理程序开发； 2、面向业务目标，对数据模型、数据分布、数据传输、数据存储等方面进行大数据场景的功能开发； 3、参与相关项目需求分析和分项设计工作。 岗位要求： 1、大学本科或以上学历，计算机相关专业，有大数据相关经验者优先； 2、熟悉linux系统，熟练掌握JAVA或Python语至少一种； 3、熟悉一种关系型数据库，具备一定的SQL功底； 4、有较好的沟通交流能力，较强的抗压能力，对自己的输出负责； 5、熟悉以下任一技术栈者优先：ClickHouse；Hadoop生态，HDFS/Hbase/Hive；MapReduce，Spark；HBase、Kafka；Flink；Sparkstreaming； 6、党员优先。 【聊聊梦想】： 27年来，我们一直奉行“智能化助力治理能力现代化”的使命，致力于成为国内一流的政企数智化专家，在国家和企业走向现代化的过程中，在民族复兴的伟大进程中，我们拥有巨大机遇，欢迎有梦想，有情怀，有能力，有毅力的你加入梦创大家庭，成为一名追梦人，为“中国之治”的伟大梦想贡献力量。 【聊聊前途】： 公司处于快速发展时期，拥有省部级客户近50家，全国超过1万家客户，遍布全国所有省市，覆盖超过1000万用户，公司近几年平均增速超过50%，我们期待你快速成长，独当一面，成为公司区域里的“省长”、“市长”，成为技术领域的“专家”、“院士”，成为职能部门的“局长”、“部长”。 【聊聊福利】： 除了常规福利，我们为你提供了怦然心动的“I-Dream”计划，我们将为你提供公司分红和期权；为你和父母提供国内国外旅游机会，为你及家人设立住房和大病基金，为你提供无息贷款，为你解决上海户口，为孩子提供优秀学校，让你可以无后顾之忧的投入自己的事业发展中来。 优秀的我们，期待卓越的你！,2026-03-14
java开发工程师(大数据方向),广州鲸吓网络科技有限公司,广州-天河区,4-8千/月,广州-天河区 在校生/应届生 本科 招1人 03-14发布,民营公司,50-150人,网络游戏,"1. 参与数据平台开发； 2、参与产品系统的需求沟通、分析设计、功能编码、测试工作，技术文档编写； 3、参与完成产品核心代码的编写和优化、功能bug修复；4、根据项目要求完成项目交付及问题支持解决； 任职要求: 1. 2020届全日制本科及以上学历, 软件工程、计算机、数学、信息安全、网络工程等相关专业，毕业前能够实习; 2. 熟悉Java编程语言以及SQL; 3. 使用过Hadoop/Storm/Spark/Hive/Kafka等分布式开源项目的优先； 4、善于学习，善于分析，敬业勤奋，有强烈的工作责任感和良好的工作态度。",2026-03-14
数据分析师,无锡恒廷实业有限公司,无锡-锡山区,4-6千/月,无锡-锡山区 1年经验 大专 招3人 03-14发布,国企,50-150人,建筑/建材/工程,"1.熟悉服装、数据等相关专业； 2.熟练掌握数据统计分析方法，精通Excel, SPSS等工具； 3.较强的逻辑思维，对数据敏感； 待遇：综合工资4000-6000元/月，单双休 。",2026-03-14
资深大数据开发工程师,湖南兴盛优选电子商务有限公司,深圳-南山区,3-5万/月,深圳-南山区 5-7年经验 硕士 招3人 03-14发布,民营公司,1000-5000人,"互联网/电子商务,快速消费品(食品、饮料、化妆品)",职责： 负责公司实时计算平台基础技术研发，参与大数据平台系统性能分析及优化，提高系统运行效率。 要求： 1.具备大规模实时数据处理实践经验，精通Spark streaming或Flink实时数据处理框架； 2.熟悉分布式系统设计原理，具备高并发高性能系统架构设计经验； 3.了解分布式数据库，数据仓库和数据集市； 4.思维严谨缜密，善于发现问题，具有优秀的分析解决问题的能力；善于沟通，具有团队合作精神； 5.本科及以上学历，计算机科学，电子工程，应用数学，统计学或相关专业； 6.具有国内外一线互联网公司5年以上工作经验者优先。,2026-03-14
数据分析师,广东数果科技有限公司,广州-天河区,1.5-2.3万/月,广州-天河区 5-7年经验 本科 招1人 03-14发布,民营公司,50-150人,"计算机软件,互联网/电子商务",岗位职责： 1、对客户的业务场景及问题进行深度挖掘分析，设计数据分析应用； 2、挖掘数据背后的业务发展方向、规律、短板，为业务提供数据决策依据； 3、针对具体的业务事件，研究业务开拓中的局限性或亮点，进行数据分析并提出优化方案或提炼可复制的模板； 4、数据研究与分析，通过挖掘数据的内在关系，发现运营与推广中的问题，并推动问题的解决； 任职要求： 1、3年或以上交通、金融、制造等行业经验； 2、具有扎实的统计学、数据分析、数据挖掘基础，能独立完成相应数据分析需求； 3、具有较强结构化思维、逻辑思维能力，优异的学习能力； 4、对数据敏感，具备优秀的信息整合和分析能力，能够形成清晰的业务观点和前瞻判断。,2026-03-14
